party_id,parlgov_id,Party
AT24,1536,Bündnis Zukunft Österreich
AT11,50,Freiheitliche Partei Österreichs
AT28,2651,JETZT – Liste Pilz
parl_gov,669,Liste Dr. Hans-Peter Martin
AT26,2150,Team Stronach
AT999,9900,others
BE33,171,Front National
BE4,221,"Lijst Dedecker | Libertair, Direct, Democratisch"
BE48,501,Nieuw-Vlaamse Alliantie
BE49,438,Parti populaire
BE24,256,Partij van de Arbeid – Parti du Travail de Belgique
BE29,993,Vlaams Blok | Vlaams Belang
BG33,535,Ataka
BG29,2362,Balgarija bes Zensura
BG1,982,Balgarska Sotsialisticheska Partiya
BG23,1541,Grazhdani za Evropeysko Razvitie na Balgariya
BG39,2836,Ima takav narod
BG613,2838,Izpravi se!
BG38,2211,Natsionalen Front za Spasenie na Balgariya
BG9,544,Natsionalno Dvizhenie Simeon Vtori
BG21,636,"Red, zakonnost i spravedlivost"
BG24,2212,VMRO – Balgarsko Natsionalno Dvizhenie
BG40,2640,Vazrazhdane
BG36,2637,Volya
CH24,1318,Eidgenössisch-Demokratische Union – Union Démocratique Fédérale
CH23,1500,Lega dei Ticinesi
CH30,2599,Mouvement Citoyens Genevois
CH14,628,Nationale Aktion – Action Nationale | Schweizer Demokraten – Démocrates Suisses
CH9,1167,Partei der Arbeit der Schweiz
CH6,750,Schweizerische Volkspartei – Union Démocratique du Centre
CH26,1226,solidaritéS
CY1,572,Anorthotikó Kómma Ergazómenou Laoú
CY19,1768,Ethniko Laiko Metopo
CY12,491,Evropaiko Komma
CY18,2626,Kinima Allileggiis
CY8,6,Neoi Orizontes
CY20,2341,Symmaxia
CZ22,2263,Akce nespokojených občanů 2011
CZ1,1173,Komunistická strana Cech a Moravy
CZ1,665,Komunistická strana Československa
parl_gov,2831,Přísaha
CZ3,872,Sdruzení pro republiku – Republikánská strana Ceskoslovenska
CZ25,2654,Svoboda a přímá demokracie
parl_gov,2854,Volný blok
CZ15,336,Věci veřejné
CZ21,2262,Úsvit přímé demokracie
DE61,2253,Alternative für Deutschland
DE54,524,Die Republikaner
DE3,791,PDS | Die Linke
DK26,1418,Dansk Folkeparti
DK601,306,Enhedslisten – De Rød-Grønne
DK21,978,Fremskridtspartiet
DK30,2781,Nye Borgerlige
DK16,1644,Socialistisk Folkeparti
ES74,520,Bloque Nacionalista Galego
ES78,2792,Candidatura d'Unitat Popular
ES608,2603,Euskal Herria Bildu
ES46,1317,Herri Batasuna
ES629,118,Partido Communista | Izquierda Unida
ES63,2376,Podemos
ES75,2380,Vox
EE3,1137,Eesti Keskerakond
EE660,1064,Eesti Kodanik
EE1,552,Eesti Rahvusliku Sõltumatuse Partei
EE8,417,Eestimaa Rahvalliit / Eesti Konservatiivne Rahvaerakond
parl_gov,428,Erakond Res Publica
FI23,1292,Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet
FI28,2801,Liike Nyt
FI17,200,Suomen Puolue | Perussuomalaiset
FR58,2399,Debout la république | Debout la France
FR72,2644,La France Insoumise
FR24,1176,Lutte ouvrière
parl_gov,1101,Mouvement pour la France
FR9,686,Parti communiste française
FR29,270,Rassemblement National
FR14,2252,Rassemblement pour la France
GB45,2729,Brexit Party
GB24,319,Democratic Unionist Party
GB35,1057,Respect – The Unity Coalition
GB31,1272,United Kingdom Independence Party
GR60,2091,Anexartitoi Ellines
GR59,720,Dimokratiko Koinoniko Kinima
GR72,2780,Elliniki Lisi
GR4,614,Kommounistikó Kómma Elládas
GR61,2092,Laikos Syndesmos – Chrysi Avg
GR69,2596,Laïkí Enótita | Plefsi Eleftherias
GR68,1179,Laïkós Orthódoxos Synagermós
GR73,2742,Métopo Evropaikís Realistikís Anypakoís
GR48,2163,Oikolόgoi Enallaktikoί
GR58,1412,Politiki Anixi
GR600,1592,Synaspismós Rizospastikís Aristerás
GR614,1441,Synaspismós tīs Aristerás
HR47,2809,Domovinski pokret
HR1,276,Hrvatska demokratska zajednica
HR7,1044,Hrvatska stranka prava
HR23,2135,Hrvatski demokratski savez Slavonije i Baranje
HR25,2182,Hrvatski laburisti – Stranka rada
HR33,2185,Hrvatski rast
HR34,2628,Milan Bandić 365 – Stranka rada i solidarnosti
HR30,2615,Most nezavisnih lista
HR49,2810,Možemo! – politička platforma
HR28,2612,Živi zid
HU5,921,Fidesz – Magyar Polgári Szövetség
HU3,870,Független Kisgazda Párt
HU14,600,Jobbik Magyarországért Mozgalom
HU8,95,Magyar Igazság és Élet Pártja
HU10,1202,Magyar Munkáspárt
HU23,2745,Mi Hazánk Mozgalom
IE6,2217,Sinn Féin
IE28,1014,Socialist Party
IS40,587,Borgarahreyfingin – Hreyfingin
IS45,2632,Flokkur fólksins
IS8,1455,Framsóknarflokkurinn
IS44,2655,Miðflokkurinn
IS14,2852,Sósíalistaflokkur Íslands
IT24,373,Alleanza Nazionale
IT880,67,Centro-destra
IT55,176,Fiamma Tricolore
IT50,596,Forza Italia – Il Popolo della Libertà
IT80,2154,Fratelli d'Italia
IT87,693,Italia dei Valori
IT47,1436,Lega Nord
IT53,436,Lega d'Azione Meridionale
IT78,2155,Movimento 5 Stelle
IT24,831,Movimento Sociale Italiano
IT48,366,Movimento per la Democrazia – La Rete
IT60,1661,Partito dei Comunisti Italiani
IT46,1321,Partito della Rifondazione Comunista
IT76,465,Sinistra
LT16,581,Darbo partija
LT25,2121,Drąsos kelias
LT34,383,Jaunoji Lietuva
parl_gov,432,Lietuvių tautininkų sąjunga
LT29,2635,Lietuvos Centro Partija
LT31,2634,Lietuvos laisvės sąjunga (liberalai)
LT23,1502,Tautos prisikėlimo partija
LT24,1421,Tvarka ir teisingumas – Liberalų demokratų partija
LU24,1582,Aktiounskomitee Rente | Alternativ Demokratesch Reformpartei
LU29,457,Déi Lénk
LU7,151,Kommunistesch Partei Lëtzebuerg
LU27,374,National Bewegong
LV18,1518,Jaunais Laiks
LV30,2715,Kam pieder valsts?
parl_gov,1260,Latvijas Komunistiskā partija
LV12,309,Latvijas Sociālistiskā partija
LV11,1042,Latvijas Vienības Partija
LV720,521,Nacionālā apvienība / Tēvzemei un Brīvībai / LNNK
LV23,1942,Reformu partija
LV10,267,Tautas Kustība Latvijai – Zīgerista Partija
LV6,203,Tēvzemei un Brīvībai
NL59,2824,BoerBurgerBeweging
NL39,209,Centrum Democraten
NL56,2642,Forum voor Democratie
NL58,2823,Juiste Antwoord21
NL51,744,Leefbaar Nederland
NL49,456,Lijst Pim Fortuyn
NL53,1501,Partij voor de Vrijheid
NL42,357,Socialistiese Partij
NO15,351,Fremskrittspartiet
NO22,780,Kystpartiet
NO20,1638,Rød Valgallianse
NO14,81,Sosialistisk Venstreparti
PL40,2602,Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja KORWiN
PL43,2600,Kukiz'15
PL29,987,Liga Polskich Rodzin
PL45,2625,Partia Razem
PL12,181,Partia X
PL14,1074,Polski Związek Zachodni
PL28,528,Prawo i Sprawiedliwość
PL38,2398,Ruch Narodowy
PL21,148,Ruch Odbudowy Polski
PL20,207,Samoobrona Rzeczypospolitej Polskiej
PL9,1549,Unia Polityki Realnej | Kongres Nowej Prawicy
parl_gov,1758,Zjednoczenie Chrześcijańsko-Narodowe
PT33,557,Bloco de Esquerda
PT41,2789,Chega
PT2,514,Partido Comunista Português
RO45,2807,Alianța pentru Unirea Românilor
RO31,2395,Partidul Mișcarea Populară
RO39,2130,Partidul Poporului – Dan Diaconescu
RO11,713,Partidul România Mare
parl_gov,2648,Partidul România Unită
RO7,307,Partidul Socialist Democrat Român
RO7,307,Partidul Socialist Democrat Român
RO12,562,Partidul Socialist al Muncii
RO10,648,Partidul Unitatii Naţionale a Romanilor
SK15,1200,Aliancia nového občana
SK7,1142,Hnutie za demokratické Slovensko
SK16,44,Komunistická strana Slovenska
SK25,1759,Obyčajní ľudia a nezávislé osobnosti
SK4,20,Pravá Slovenská národná strana
SK4,1072,Slovenská národná strana
SK30,2623,Sme Rodina – Boris Kollár
SK14,220,Smer – sociálna demokracia
SK11,1016,Strana občianskeho porozumenia
parl_gov,2798,Vlasť
SK10,1563,Združenie robotníkov Slovenska
SK28,586,Ľudová strana Naše Slovensko
SI601,2670,Levica
SI33,2668,Lista Marjana Šarca
SI14,1047,Nova Slovenija – Krščanska ljudska stranka
parl_gov,2019,Slovenija je naša
SI17,179,Slovenska demokratska stranka
SI10,981,Slovenska nacionalna stranka
SI7,317,Socialistična stranka Slovenije
SI640,706,Združena lista – Socialni demokrati
SE24,951,Ny Demokrati
SE25,1546,Sverigedemokraterna
SE10,882,Vänsterpartiet (kommunisterna)
